"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that searching for a product returns relevant results.","1547","Test Search for a Product","","Mon Sep 23 20:06:51 MSK 2024","passed","Mon Sep 23 20:06:52 MSK 2024","","test_main","",""
"Verifies that footer links navigate to the correct pages and display the expected heading.","882","Test Footer Links","","Mon Sep 23 20:07:03 MSK 2024","passed","Mon Sep 23 20:07:04 MSK 2024","","test_main","",""
"Verifies that footer links navigate to the correct pages and display the expected heading.","1502","Test Footer Links","","Mon Sep 23 20:07:01 MSK 2024","passed","Mon Sep 23 20:07:03 MSK 2024","","test_main","",""
"Verifies that footer links navigate to the correct pages and display the expected heading.","825","Test Footer Links","","Mon Sep 23 20:07:03 MSK 2024","passed","Mon Sep 23 20:07:03 MSK 2024","","test_main","",""
"Verifies that each nested menu item navigates to the correct page.","1611","Test Nested Menu Functionality","","Mon Sep 23 20:06:48 MSK 2024","passed","Mon Sep 23 20:06:49 MSK 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages and display the expected heading.","815","Test Footer Links","","Mon Sep 23 20:07:00 MSK 2024","passed","Mon Sep 23 20:07:01 MSK 2024","","test_main","",""
"Verifies that a product can be successfully added to the shopping cart.","1762","Test Add Product to Cart","","Mon Sep 23 20:06:52 MSK 2024","passed","Mon Sep 23 20:06:54 MSK 2024","","test_main","",""
"Verifies that footer links navigate to the correct pages and display the expected heading.","816","Test Footer Links","","Mon Sep 23 20:06:59 MSK 2024","passed","Mon Sep 23 20:07:00 MSK 2024","","test_main","",""
"Verifies that each nested menu item navigates to the correct page.","1390","Test Nested Menu Functionality","","Mon Sep 23 20:06:49 MSK 2024","passed","Mon Sep 23 20:06:51 MSK 2024","","UI Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","5222","Test Menu Item Navigation","","Mon Sep 23 20:06:39 MSK 2024","passed","Mon Sep 23 20:06:44 MSK 2024","","UI Tests","",""
"Verifies that a product can be added to the wishlist.","1417","Test Add Product to Wishlist","","Mon Sep 23 20:06:58 MSK 2024","passed","Mon Sep 23 20:06:59 MSK 2024","","test_main","",""
"Verifies that each nested menu item navigates to the correct page.","1553","Test Nested Menu Functionality","","Mon Sep 23 20:06:44 MSK 2024","passed","Mon Sep 23 20:06:46 MSK 2024","","UI Tests","",""
"Verifies that each nested menu item navigates to the correct page.","1712","Test Nested Menu Functionality","","Mon Sep 23 20:06:46 MSK 2024","passed","Mon Sep 23 20:06:48 MSK 2024","","UI Tests","",""
"Verifies that the homepage slider works correctly, allowing navigation between slides.","2392","Test Slider Functionality","","Mon Sep 23 20:06:54 MSK 2024","passed","Mon Sep 23 20:06:56 MSK 2024","","UI Tests","",""
